OID_,Aspect,Slope,Elevation,Mean,CV,Trend,Solar,Cover_1972,Cover_2008,1972B,1972T,1972S,1972O,1972C,2008T,2008S,2008B,2008O,2008C,Texpand,Sexpand,Bexpand,Oexpand,X,Y
157,122.98668,4.30261,3216.99292,0.27323583,0.836358677,-0.01551493,25.97043,T,T,0,1,0,0,0,1,0,0,0,0,0,0,0,0,449606,4431920
1039,55.18119,9.6938,3217.25342,0.06930083,1.417285858,0.001442622,24.1816,O,C,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,452531,4432739
1562,168.21915,24.90979,3217.33594,0.06356167,1.462187181,0.00577951,26.23787,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,450093,4431865
793,189.96025,20.01377,3217.99512,0.06891083,1.286946904,-0.002341154,27.30872,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451156,4432183
1434,123.84074,6.96387,3218.62134,0.16908083,0.92380157,-0.002033252,25.77966,O,O,0,0,0,1,0,0,0,0,1,0,0,0,0,0,448934,4435595
610,138.05672,29.00217,3219.23682,0.10187833,0.870681313,0.006395245,23.60029,O,O,0,0,0,1,0,0,0,0,1,0,0,0,0,0,449530,4432157
331,359.27002,13.2105,3220.07935,0.10999833,0.811301315,0.010178112,23.9131,O,O,0,0,0,1,0,0,0,0,1,0,0,0,0,0,448942,4435578
1300,81.49971,24.91543,3220.52466,0.28055583,0.808759744,-0.015827657,20.81833,O,O,0,0,0,1,0,0,0,0,1,0,0,0,0,0,449242,4435566
1675,353.15381,15.86986,3221.17285,0.273405,0.808018894,-0.015307063,24.61517,O,O,0,0,0,1,0,0,0,0,1,0,0,0,0,0,449187,4435541
1189,159.93097,9.43188,3221.42017,0.1304075,0.803542409,0.019703811,26.59707,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,450444,4432078
1340,204.51106,16.82102,3221.50684,0.15109833,0.807201063,0.011971399,27.47713,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,449651,4432089
580,328.60974,56.8079,3221.65356,0.30048167,0.880333645,-0.033151189,13.01184,O,O,0,0,0,1,0,0,0,0,1,0,0,0,0,0,449629,4435816
174,17.71575,5.56178,3221.79785,0.2047175,0.72795297,-0.001024021,25.07984,T,T,0,1,0,0,0,1,0,0,0,0,0,0,0,0,449080,4435520
1380,27.1085,14.27957,3222.26001,0.11316333,0.836933981,0.007906713,24.14501,O,O,0,0,0,1,0,0,0,0,1,0,0,0,0,0,448893,4435573
611,31.6602,17.20981,3222.34717,0.22442917,0.579817077,-0.008406329,22.33971,B,B,1,0,0,0,0,0,0,1,0,0,0,0,0,0,450442,4435802
1746,138.35655,8.98123,3222.36694,0.23163,0.696714125,0.004965944,25.97217,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,449621,4432152
1038,253.43108,2.76062,3222.38013,0.111485,1.129598345,0.017313217,26.4705,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,450036,4431929
